No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary
,진해수,2012,K,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,500"
,김광수,2012,한,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"9,000"
,홍상삼,2012,두,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"5,000"
,김광삼,2012,L,P,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"7,000"
,이승우,2012,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,400"
,오승환,2012,삼,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"38,000"
,박성훈,2012,넥,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"3,700"
,최대성,2012,롯,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"3,000"
,이상열,2012,L,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"15,000"
,임찬규,2012,L,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"8,000"
,임창민,2012,넥,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,400"
,양훈,2012,한,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"13,000"
,손승락,2012,넥,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"18,000"
,김수경,2012,넥,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"11,500"
,김수완,2012,롯,P,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"4,300"
,이명우,2012,롯,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"4,500"
,안지만,2012,삼,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"25,000"
,강영식,2012,롯,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"30,000"
,이동현,2012,L,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"5,000"
,김성배,2012,롯,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"5,000"
,이혜천,2012,두,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"25,000"
,봉중근,2012,L,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"15,000"
,김선규,2012,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"7,000"
,이태양,2012,넥,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,400"
,안영진,2012,한,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,400"
,마일영,2012,한,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"10,000"
,안승민,2012,한,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"6,600"
,류택현,2012,L,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"4,500"
,박희수,2012,S,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"7,000"
,김상수,2012,넥,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"4,800"
,심창민,2012,삼,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,400"
,안규영,2012,두,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,600"
,정현욱,2012,삼,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"25,000"
,김병현,2012,넥,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"50,000"
,김사율,2012,롯,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"13,000"
,김태훈,2012,S,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,800"
190,권영준,2012,롯,2B,11,14,13,2,3,0,0,0,3,0,0,0,0,1,0,6,0,0,0,.231,.286,.231,.517,.258,53.9,-0.00,,"2,400"
191,신명철,2012,삼,2B,44,112,100,9,21,2,1,2,31,7,1,2,8,0,0,18,2,4,0,.210,.269,.310,.579,.266,59.1,-0.00,,"15,000"
193,박노민,2012,한,C,19,47,41,1,7,1,0,0,8,2,0,0,6,0,0,13,1,0,0,.171,.277,.195,.472,.242,43.9,-0.01,,"3,500"
194,차화준,2012,넥,2B,8,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.250,.250,.250,.500,.239,40.2,-0.01,,"2,500"
196,이현곤,2012,K,1B,6,6,5,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,.200,.333,.200,.533,.279,67.9,-0.01,,"10,500"
197,정범모,2012,한,C,72,192,170,17,30,10,0,3,49,13,7,5,13,1,0,55,6,7,1,.176,.238,.288,.526,.241,43.2,-0.01,,"2,600"
198,강병식,2012,넥,DH,26,36,30,4,6,2,0,0,8,2,1,1,5,1,0,9,0,0,0,.200,.333,.267,.600,.302,84.4,-0.02,,"7,000"
199,이양기,2012,한,RF,35,54,49,8,11,2,0,0,13,6,0,0,2,3,0,11,1,0,0,.224,.296,.265,.562,.278,68.0,-0.02,,"3,700"
200,정상교,2012,K,SS,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-130.4,-0.02,,"2,600"
204,정우람,2012,S,P,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,-128.5,-0.02,,"28,000"
205,신현철,2012,넥,3B,11,26,26,2,6,2,0,0,8,3,0,0,0,0,0,5,0,0,0,.231,.231,.308,.539,.251,48.7,-0.02,,"2,400"
206,권용관,2012,S,SS,3,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.200,.200,.200,.400,.191,6.2,-0.02,,"6,600"
209,정진기,2012,S,RF,14,10,8,1,1,0,0,0,1,0,0,0,2,0,0,3,0,0,0,.125,.300,.125,.425,.239,40.1,-0.04,,"2,400"
210,강귀태,2012,넥,C,12,21,19,2,4,0,0,0,4,1,0,0,0,1,0,4,0,1,0,.211,.250,.211,.461,.218,25.5,-0.04,,"8,000"
213,홍재호,2012,K,SS,55,107,92,13,17,3,0,1,23,6,1,0,11,0,1,22,1,4,0,.185,.272,.250,.522,.244,42.8,-0.04,,"3,100"
214,전현태,2012,한,2B,2,6,4,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,.000,.200,.000,.200,.120,-40.4,-0.04,,"3,700"
215,정진호,2012,두,RF,46,84,75,14,17,2,0,0,19,5,8,3,6,1,0,13,1,1,1,.227,.289,.253,.543,.263,57.1,-0.05,,"2,600"
217,정주현,2012,L,2B,18,25,23,5,4,0,0,0,4,1,4,1,2,0,0,9,0,0,0,.174,.240,.174,.414,.210,20.0,-0.05,,"2,800"
218,이호신,2012,K,LF,27,12,10,3,1,0,1,0,3,2,1,0,1,0,0,4,0,0,1,.100,.167,.300,.467,.202,13.2,-0.05,,"2,400"
219,권영진,2012,S,SS,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-128.5,-0.06,,"2,500"
221,임익준,2012,한,2B,10,5,5,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-122.7,-0.08,,"3,700"
222,김재환,2012,두,C,13,43,39,7,5,1,0,1,9,1,0,0,4,0,0,9,0,0,0,.128,.209,.231,.440,.215,23.7,-0.09,,"2,600"
223,우동균,2012,삼,RF,26,60,48,6,9,3,0,1,15,5,1,0,7,0,1,12,1,4,1,.188,.286,.313,.598,.260,54.6,-0.09,,"3,800"
224,박정준,2012,넥,LF,18,28,27,3,5,1,1,0,8,0,0,0,1,0,0,8,0,0,0,.185,.214,.296,.511,.237,39.1,-0.09,,"4,300"
225,박헌도,2012,넥,LF,23,42,34,3,6,0,0,0,6,1,0,0,7,0,0,12,0,0,1,.176,.310,.176,.486,.256,52.4,-0.10,,"2,400"
226,지석훈,2012,넥,3B,61,121,104,11,18,4,1,1,27,11,1,1,10,4,1,24,3,3,0,.173,.271,.260,.531,.252,49.3,-0.10,,"3,000"
228,변용선,2012,롯,C,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-127.2,-0.10,,"2,500"
229,이대형,2012,L,CF,101,291,258,32,46,4,4,1,61,19,25,3,25,1,2,53,5,6,1,.178,.253,.236,.489,.232,35.2,-0.10,,"8,500"
230,황선일,2012,L,LF,3,8,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,.119,-43.9,-0.11,,"2,800"
231,유재웅,2012,S,RF,9,14,13,1,2,0,0,0,2,1,0,0,1,0,0,3,0,0,0,.154,.214,.154,.368,.188,3.9,-0.11,,"4,800"
233,김남형,2012,넥,LF,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000,.000,-127.2,-0.12,,"2,400"
234,황진수,2012,롯,SS,28,20,18,2,2,1,0,0,3,0,2,0,1,0,0,9,1,1,0,.111,.158,.167,.325,.151,-21.2,-0.12,,"2,400"
235,이인구,2012,롯,LF,7,12,12,1,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,.167,.167,.167,.333,.159,-15.6,-0.12,,"5,000"
236,이성우,2012,K,C,16,9,8,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,.000,.111,.000,.111,.080,-73.6,-0.12,,"3,300"
237,김경모,2012,삼,2B,9,4,4,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-128.1,-0.13,,"2,500"
238,국해성,2012,두,2B,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-127.6,-0.13,,"2,400"
239,심광호,2012,L,C,43,82,73,4,15,3,0,0,18,6,1,1,3,1,0,19,1,4,1,.205,.244,.247,.490,.225,30.1,-0.14,,"4,000"
240,채상병,2012,삼,C,10,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.000,.000,.000,.000,.000,-128.1,-0.14,,"7,500"
243,연경흠,2012,한,LF,42,71,62,3,11,2,0,1,16,5,0,0,9,0,1,16,2,0,0,.177,.282,.258,.540,.261,56.6,-0.14,,"5,000"
244,오준혁,2012,한,RF,10,16,15,1,2,0,0,0,2,2,0,0,0,1,0,3,1,0,0,.133,.188,.133,.321,.166,-8.4,-0.15,,"2,700"
245,김문호,2012,롯,LF,56,95,79,10,16,3,0,0,19,2,1,3,11,3,1,22,1,2,0,.203,.323,.241,.563,.276,66.0,-0.15,,"2,600"
246,윤진호,2012,L,2B,22,13,12,3,1,0,0,0,1,0,1,1,1,0,0,4,0,0,0,.083,.154,.083,.237,.129,-37.3,-0.16,,"3,300"
247,김상훈,2012,K,C,80,192,163,11,28,5,0,2,39,20,0,0,18,2,1,39,5,9,0,.172,.262,.239,.502,.235,36.6,-0.17,,"32,500"
249,김대우,2012,롯,DH,6,7,7,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000,.000,-127.2,-0.17,,"2,400"
250,조동화,2012,S,RF,24,77,62,6,15,2,0,0,17,3,3,3,7,0,0,16,0,7,1,.242,.314,.274,.589,.262,56.0,-0.18,,"11,000"
251,송지만,2012,넥,RF,14,46,40,2,7,0,0,0,7,4,2,0,4,1,0,9,3,0,1,.175,.261,.175,.436,.224,30.0,-0.18,,"25,000"
252,손인호,2012,L,LF,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000,.000,-127.8,-0.18,,"4,200"
254,이상훈,2012,한,LF,17,28,25,3,3,0,0,0,3,0,1,0,1,2,0,3,1,0,0,.120,.214,.120,.334,.182,2.1,-0.20,,"2,600"
256,이정식,2012,삼,C,46,64,53,4,8,0,0,0,8,1,0,1,7,1,0,19,0,3,0,.151,.262,.151,.413,.210,19.5,-0.21,,"6,000"
257,오장훈,2012,두,1B,10,19,18,0,2,1,0,0,3,0,0,0,1,0,0,6,2,0,0,.111,.158,.167,.325,.159,-15.8,-0.21,,"2,600"
258,박윤,2012,S,1B,7,20,17,0,3,1,0,0,4,2,0,0,0,0,0,3,0,2,1,.176,.167,.235,.402,.163,-13.6,-0.21,,"2,800"
259,김용의,2012,L,1B,83,219,194,22,48,4,0,2,58,21,5,4,17,0,1,50,1,5,3,.247,.304,.299,.603,.282,70.1,-0.22,,"2,400"
260,장영석,2012,넥,3B,7,13,12,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,.000,.077,.000,.077,.055,-88.4,-0.22,,"3,300"
261,김헌곤,2012,삼,RF,10,18,18,1,2,1,0,0,3,3,0,0,0,0,0,3,0,0,0,.111,.111,.167,.278,.128,-37.9,-0.23,,"2,500"
263,정훈,2012,롯,SS,78,137,125,12,25,4,1,2,37,12,1,0,3,0,0,42,2,8,1,.200,.217,.296,.513,.225,30.5,-0.24,,"3,000"
265,박경완,2012,S,C,8,23,20,0,2,0,0,0,2,0,0,0,1,0,0,6,2,2,0,.100,.143,.100,.243,.114,-47.9,-0.25,,"50,000"
266,유강남,2012,L,C,13,28,24,1,3,0,0,0,3,1,0,0,0,1,0,5,0,2,1,.125,.154,.125,.279,.129,-37.0,-0.26,,"2,400"
267,모상기,2012,삼,1B,18,17,16,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,.063,.118,.063,.180,.100,-57.4,-0.27,,"3,500"
268,정보명,2012,롯,DH,18,34,31,2,5,0,0,0,5,2,0,0,3,0,0,9,0,0,0,.161,.235,.161,.397,.204,15.7,-0.28,,"5,000"
269,윤정우,2012,L,LF,29,21,21,4,2,0,0,0,2,0,4,1,0,0,0,7,1,0,0,.095,.095,.095,.191,.091,-63.9,-0.28,,"2,600"
270,박재상,2012,S,LF,100,322,269,37,58,12,0,4,82,23,6,9,34,1,0,60,8,16,2,.216,.304,.305,.609,.280,69.0,-0.30,,"16,000"
272,김태군,2012,L,C,100,175,149,7,30,2,0,0,32,14,0,0,8,5,0,24,6,13,0,.201,.265,.215,.480,.223,28.6,-0.33,,"3,500"
274,신경현,2012,한,C,76,171,149,10,27,0,0,0,27,9,1,0,13,2,0,25,4,5,2,.181,.253,.181,.434,.214,24.5,-0.35,,"20,000"
276,송산,2012,K,C,39,90,80,6,13,2,0,0,15,11,0,0,5,1,0,25,5,4,0,.163,.221,.188,.408,.195,8.3,-0.37,,"3,000"
279,김재현,2012,S,RF,84,93,89,22,19,4,0,0,23,5,12,5,0,0,0,18,2,4,0,.213,.214,.258,.472,.212,21.1,-0.45,,"2,400"
281,문규현,2012,롯,SS,105,277,244,17,50,10,0,0,60,17,0,2,13,4,0,50,3,14,2,.205,.255,.246,.501,.231,34.9,-0.56,,"8,400"
282,신종길,2012,K,RF,44,92,83,10,13,2,2,1,22,2,5,5,5,0,0,26,0,3,1,.157,.202,.265,.467,.212,20.4,-0.59,,"6,000"
283,조중근,2012,넥,LF,45,112,95,3,13,0,0,1,16,5,1,2,10,1,0,31,2,4,2,.137,.222,.168,.391,.193,7.9,-0.90,,"4,300"
284,김주형,2012,K,1B,56,129,117,8,18,2,0,3,29,12,0,0,6,1,0,35,0,3,2,.154,.198,.248,.446,.207,16.8,-0.92,,"4,500"
1,최정,2013,S,3B,120,525,434,75,137,18,0,28,239,83,24,8,64,24,9,109,10,1,2,.316,.429,.551,.980,.441,167.3,7.11,,"52,000"
2,박병호,2013,넥,1B,128,556,450,91,143,17,0,37,271,117,10,2,92,8,4,96,7,0,6,.318,.437,.602,1.039,.462,181.1,7.02,,"22,000"
3,손아섭,2013,롯,RF,128,568,498,83,172,23,4,11,236,69,36,7,64,3,6,88,9,0,3,.345,.421,.474,.895,.415,148.9,6.04,,"21,000"
4,박석민,2013,삼,3B,117,474,396,61,126,24,0,18,204,76,4,2,54,21,1,73,13,0,2,.318,.425,.515,.940,.432,162.0,5.85,,"28,000"
5,강정호,2013,넥,SS,126,532,450,67,131,21,1,22,220,96,15,8,68,6,3,109,18,2,6,.291,.387,.489,.876,.398,138.0,5.55,,"30,000"
6,박용택,2013,L,CF,125,539,476,79,156,22,4,7,207,67,13,8,52,4,1,71,5,0,7,.328,.393,.435,.828,.388,131.6,4.95,,"35,000"
7,최형우,2013,삼,LF,128,573,511,80,156,28,0,29,271,98,2,1,47,7,1,91,5,0,8,.305,.367,.530,.897,.404,142.6,4.91,,"28,000"
8,정성훈,2013,L,3B,121,477,407,64,127,22,1,9,178,62,13,6,59,7,0,58,12,0,4,.312,.405,.437,.842,.396,137.7,4.66,,"50,000"
9,채태인,2013,삼,1B,94,342,299,52,114,15,0,11,162,53,4,0,38,5,1,70,9,0,0,.381,.459,.542,1.001,.463,183.0,4.34,,"5,000"
10,나지완,2013,K,LF,125,522,435,57,125,18,0,21,206,96,7,3,62,18,1,111,12,1,5,.287,.394,.474,.868,.400,139.6,4.23,,"15,000"
11,이종욱,2013,두,CF,110,456,401,77,123,23,6,6,176,52,30,7,38,3,1,57,6,12,2,.307,.369,.439,.808,.366,116.6,3.92,,"19,700"
12,오지환,2013,L,SS,124,514,441,81,113,20,8,9,176,47,30,7,54,9,0,113,7,7,3,.256,.347,.399,.746,.346,102.6,3.91,,"10,200"
13,민병헌,2013,두,RF,119,449,383,71,122,21,7,9,184,65,27,8,40,7,0,62,7,12,7,.319,.387,.480,.867,.388,131.7,3.78,,"5,200"
14,배영섭,2013,삼,CF,113,476,393,66,116,16,4,2,146,38,23,10,52,20,1,62,9,8,3,.295,.402,.372,.773,.368,117.7,3.73,,"8,500"
15,김민성,2013,넥,3B,128,523,458,60,129,24,2,15,202,72,7,7,42,16,1,84,11,3,4,.282,.360,.441,.801,.369,118.5,3.72,,"8,500"
16,김태균,2013,한,1B,101,430,345,41,110,24,0,10,164,52,0,3,73,8,7,67,14,0,4,.319,.444,.475,.920,.425,156.4,3.68,,"150,000"
17,이택근,2013,넥,CF,123,536,477,73,137,31,1,9,197,66,29,8,39,7,1,58,15,6,7,.287,.345,.413,.758,.349,104.5,3.46,,"70,000"
18,김현수,2013,두,LF,122,510,434,63,131,23,1,16,204,90,2,4,62,2,10,71,6,0,12,.302,.382,.470,.852,.384,129.2,3.40,,"31,000"
19,김강민,2013,S,CF,105,397,352,39,106,22,3,10,164,55,10,6,36,4,2,54,10,2,3,.301,.370,.466,.836,.382,127.0,3.35,,"20,000"
20,이범호,2013,K,3B,122,516,436,56,108,17,0,24,197,73,0,2,62,9,3,79,18,4,5,.248,.350,.452,.801,.364,115.0,3.35,,"43,500"
21,전준우,2013,롯,CF,128,537,455,65,125,25,1,7,173,66,19,8,65,5,0,77,15,5,7,.275,.367,.380,.747,.352,106.6,3.31,,"15,000"
22,박정권,2013,S,1B,110,434,363,56,106,20,1,18,182,70,4,4,64,1,5,79,5,0,6,.292,.394,.501,.895,.405,142.6,3.28,,"20,500"
23,모창민,2013,N,3B,108,436,395,57,109,24,3,12,175,51,16,3,37,1,0,68,11,2,1,.276,.339,.443,.782,.359,111.8,3.22,,"4,200"
24,정근우,2013,S,2B,112,476,407,64,114,19,3,9,166,35,28,11,50,7,6,48,6,11,1,.280,.368,.408,.776,.353,107.5,3.20,,"55,000"
25,강민호,2013,롯,C,105,405,327,48,77,13,0,11,123,57,4,1,60,11,3,87,5,1,6,.235,.366,.376,.743,.351,106.0,3.09,,"55,000"
26,김상수,2013,삼,SS,115,422,372,57,111,17,3,7,155,44,14,5,30,5,1,44,7,9,6,.298,.354,.417,.770,.350,105.8,3.06,,"17,000"
27,황재균,2013,롯,3B,128,559,489,70,134,29,3,7,190,56,22,11,49,10,3,78,14,7,4,.274,.350,.389,.738,.342,100.2,3.04,,"18,000"
28,이병규,2013,L,RF,98,401,374,39,130,19,3,5,170,74,2,2,22,2,2,40,10,0,3,.348,.384,.455,.839,.389,132.7,2.92,,"60,000"
28,이병규,2013,L,RF,98,401,374,39,130,19,3,5,170,74,2,2,22,2,2,40,10,0,3,.348,.384,.455,.839,.389,132.7,2.92,,"7,500"
79,이병규,2013,L,1B,73,202,172,24,50,6,1,2,64,26,1,1,26,3,0,47,0,1,0,.291,.393,.372,.765,.368,118.2,0.99,,"60,000"
79,이병규,2013,L,1B,73,202,172,24,50,6,1,2,64,26,1,1,26,3,0,47,0,1,0,.291,.393,.372,.765,.368,118.2,0.99,,"7,500"
29,오재원,2013,두,2B,113,375,308,54,80,14,7,7,129,44,33,11,49,6,2,62,6,7,5,.260,.367,.419,.786,.358,111.1,2.89,,"12,500"
30,이진영,2013,L,RF,106,411,368,41,121,26,1,3,158,62,6,2,37,2,4,42,6,1,3,.329,.390,.429,.820,.381,127.2,2.84,,"60,000"
31,이용규,2013,K,CF,100,453,390,74,115,20,1,2,143,22,21,9,44,7,0,37,4,10,2,.295,.375,.367,.741,.349,104.7,2.83,,"34,000"
32,이원석,2013,두,3B,85,300,264,40,83,12,0,10,125,39,6,4,29,3,0,49,7,1,3,.314,.385,.473,.858,.395,136.9,2.81,,"10,000"
33,신종길,2013,K,RF,104,427,377,55,117,22,5,4,161,50,29,6,30,5,0,86,3,11,4,.310,.365,.427,.792,.360,112.6,2.78,,"4,500"
34,최진행,2013,한,LF,106,422,367,39,110,27,0,8,161,53,0,0,50,3,1,86,18,1,1,.300,.387,.439,.826,.386,129.7,2.76,,"14,000"
35,김종호,2013,N,LF,128,546,465,72,129,12,7,0,155,22,50,14,57,17,1,100,11,6,1,.277,.376,.333,.709,.343,100.7,2.74,,"3,000"
36,홍성흔,2013,두,DH,127,538,469,61,140,21,0,15,206,72,5,3,57,6,0,93,15,3,3,.299,.379,.439,.819,.381,126.9,2.60,,"40,000"
37,나성범,2013,N,CF,104,458,404,55,98,18,5,14,168,64,12,2,33,15,3,95,7,0,6,.243,.319,.416,.735,.336,96.2,2.53,,"4,000"
38,이호준,2013,N,DH,126,508,442,46,123,25,1,20,210,87,2,3,60,1,3,109,8,0,5,.278,.362,.475,.837,.381,126.9,2.40,,"45,000"
39,김선빈,2013,K,SS,88,363,310,51,93,12,0,1,108,29,28,14,39,2,0,26,10,8,4,.300,.378,.348,.726,.344,101.1,2.28,,"18,000"
40,양의지,2013,두,C,114,367,311,37,77,19,0,7,117,57,6,1,36,8,1,50,11,9,3,.248,.338,.376,.714,.329,90.9,2.18,,"15,500"
41,정현석,2013,한,CF,121,403,356,47,102,15,1,4,131,27,4,5,37,7,1,64,14,3,0,.287,.365,.368,.733,.349,104.4,2.12,,"5,000"
42,정형식,2013,삼,CF,120,334,278,49,76,20,5,3,115,43,7,9,31,12,0,58,4,12,1,.273,.370,.414,.783,.356,109.7,2.02,,"6,000"
43,김재호,2013,두,SS,91,286,248,42,78,10,3,1,97,32,9,6,26,0,0,24,7,10,2,.315,.377,.391,.768,.352,106.8,2.00,,"7,000"
44,이대수,2013,한,SS,122,448,390,54,100,23,2,4,139,42,11,4,38,6,0,88,10,11,3,.256,.330,.356,.686,.318,83.9,1.99,,"14,000"
45,최희섭,2013,K,1B,78,305,252,29,65,17,1,11,117,42,1,1,44,7,2,72,5,0,2,.258,.380,.464,.845,.388,131.7,1.91,,"15,000"
46,정상호,2013,S,C,82,236,201,26,58,11,0,6,87,26,1,0,20,4,0,47,7,8,3,.289,.360,.433,.793,.356,109.5,1.85,,"13,000"
47,한상훈,2013,한,2B,101,322,260,45,68,13,4,0,89,25,5,4,47,6,0,40,7,6,3,.262,.383,.342,.725,.347,103.5,1.85,,"11,000"
48,한동민,2013,S,RF,99,327,285,36,75,15,2,14,136,52,2,3,20,16,0,82,6,3,3,.263,.343,.477,.820,.371,119.6,1.84,,"2,400"
49,허경민,2013,두,2B,75,276,228,35,68,9,1,1,82,25,14,4,27,9,0,14,7,7,5,.298,.387,.360,.746,.351,106.3,1.82,,"4,100"
50,서건창,2013,넥,2B,86,372,316,53,84,13,2,0,101,18,26,7,33,11,0,29,3,8,4,.266,.352,.320,.671,.321,85.5,1.72,,"7,700"
51,정훈,2013,롯,SS,113,398,341,50,88,15,3,5,124,37,7,3,30,8,0,54,8,14,5,.258,.328,.364,.692,.316,82.2,1.68,,"4,200"
52,문우람,2013,넥,RF,69,291,256,41,78,19,0,4,109,28,2,2,25,4,0,43,1,4,2,.305,.373,.426,.799,.370,118.6,1.64,,"3,000"
53,안치홍,2013,K,2B,118,484,414,56,103,15,0,3,127,39,16,1,52,6,0,74,13,7,5,.249,.338,.307,.644,.310,78.4,1.61,,"20,000"
54,박한이,2013,삼,RF,112,466,394,56,112,12,3,6,148,55,4,4,51,1,0,74,5,18,2,.284,.366,.376,.742,.340,98.9,1.57,,"35,000"
55,이성열,2013,넥,RF,92,329,284,42,67,12,0,18,133,48,1,2,23,17,1,115,2,3,2,.236,.328,.468,.797,.359,111.6,1.54,,"7,200"
56,이재원,2013,S,C,69,252,226,27,57,10,1,8,93,41,2,1,17,4,0,32,8,3,2,.252,.313,.412,.725,.331,92.6,1.50,,"5,400"
57,조영훈,2013,N,1B,120,426,380,38,107,26,3,6,157,39,4,5,39,2,1,56,6,3,2,.282,.350,.413,.763,.354,107.9,1.45,,"7,500"
59,박기남,2013,K,3B,91,214,174,35,50,11,0,4,73,21,2,0,25,2,0,28,4,11,2,.287,.379,.420,.799,.356,109.9,1.41,,"10,000"
60,박진만,2013,S,SS,100,326,276,25,69,14,1,3,94,24,3,4,37,5,0,47,6,5,3,.250,.346,.341,.686,.326,89.1,1.40,,"20,000"
62,손주인,2013,L,2B,125,423,351,42,93,17,3,3,125,41,9,6,40,6,0,63,8,20,6,.265,.345,.356,.701,.318,83.7,1.39,,"6,800"
63,정수빈,2013,두,CF,125,260,228,57,63,2,8,2,87,29,23,8,16,6,0,29,1,8,2,.276,.337,.382,.719,.328,90.2,1.38,,"10,000"
64,진갑용,2013,삼,C,101,204,181,22,49,9,0,6,76,36,0,0,12,5,0,28,5,4,2,.271,.330,.420,.750,.341,99.3,1.34,,"40,000"
65,김태완,2013,삼,2B,83,189,162,19,44,10,0,6,72,19,1,1,22,2,1,31,5,0,3,.272,.360,.444,.804,.369,118.8,1.34,,"7,000"
66,김주찬,2013,K,LF,47,195,168,24,51,9,4,0,68,28,23,3,15,4,1,18,4,7,1,.304,.372,.405,.777,.352,106.8,1.32,,"50,000"
67,유한준,2013,넥,RF,97,344,298,37,81,13,0,7,115,40,4,3,37,4,2,48,7,3,2,.272,.358,.386,.744,.348,103.8,1.29,,"11,500"
